,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
11,Am I Wrong,Nico & Vinz,Black Star Elephant,6zXb9FQMzawvY2Au8Kxky3,1fidCEsYlaVE3pHwKCvpFZ,80,2014,245867,False,https://open.spotify.com/track/1fidCEsYlaVE3pHwKCvpFZ,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968
12,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,163iYwl7Kdm9ayTnD4VyfN,5IMtdHjJ1OtkxbGe4zfUxQ,77,1979-01-01,276493,False,https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714
13,Ain't No Mountain High Enough - Mono Version,"Marvin Gaye, Tammi Terrell",Anthology,4QzwFXkYn1onuH5wr2AcYY,4njseCGxWeZUksjhrqkleT,0,1995-01-01,148093,False,https://open.spotify.com/track/4njseCGxWeZUksjhrqkleT,0.621,0.825,7,-6.005,1,0.0324,0.355,0.000932,0.152,0.886,129.168
14,Sir Duke,Stevie Wonder,Original Musiquarium,6QnqUBcQocB0U3nl8eBVjm,3dTNNizDOulTTV5uwtEGct,0,1982-05-04,231920,False,https://open.spotify.com/track/3dTNNizDOulTTV5uwtEGct,0.597,0.577,6,-10.205,1,0.0957,0.109,0.0,0.143,0.946,106.781
15,Here It Goes Again,OK Go,Oh No,1qN6qh1gwgrYTCdSq21gov,1pHP4JeQV9wDx87D6qH9hD,67,2005-01-01,179813,False,https://open.spotify.com/track/1pHP4JeQV9wDx87D6qH9hD,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729
16,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,5XyJzEROSmup2TcWmVjTIt,5tf1VVWniHgryyumXyJM7w,80,2015-09-25,219043,False,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063
17,Ain't Too Cool,LunchMoney Lewis,Ain't Too Cool,1VN6HsEOatAIT3lVvNinvF,1LCgs7f9v2wYf4rINtTty5,42,2015-12-04,222920,False,https://open.spotify.com/track/1LCgs7f9v2wYf4rINtTty5,0.68,0.796,9,-4.495,0,0.0716,0.0438,0.0,0.165,0.882,125.082
18,Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",Me 4 U,7cVXH4slEYzGjDh498OFyL,7vFoFDWqTX0mHzLfrF1Cfy,80,2015-10-16,180566,False,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy,0.782,0.685,4,-6.237,1,0.0309,0.166,1.18e-05,0.16,0.603,118.016
19,Cake By The Ocean,DNCE,DNCE,3Wv4X8OA65pGpFzBkuUgAh,76hfruVvmfQbw0eYn1nmeC,83,2016-11-18,219147,True,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
20,The Greatest,Sia,This Is Acting (Deluxe Version),2eV6DIPDnGl1idcjww6xyX,6bLopGnirdrilrpdVB6Um1,77,2016-10-21,210920,False,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95
21,Fast Car,"Jonas Blue, Dakota",Fast Car,55zQqrjWsFHRcI1mxlQSsZ,2mCF8L0brIs88eH6Kf2h9p,69,2015-12-04,212424,False,https://open.spotify.com/track/2mCF8L0brIs88eH6Kf2h9p,0.644,0.57,9,-6.994,1,0.052,0.484,0.0,0.299,0.527,113.945
22,Follow Me,Uncle Kracker,Double Wide,0Fc7RtFLwtDz5pD622l7kQ,4KoecuyOpZaNFZ0UqVsllc,72,2000-06-13,218440,True,https://open.spotify.com/track/4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014
23,Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,6TZp52tXShLQbq8yNMxqNT,27L8sESb3KR79asDUBu8nW,76,2003-01-01,197987,False,https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015
24,1985,Bowling For Soup,A Hangover You Don't Deserve,7JST4gPYSXFegyuk9nKFb0,4UuHWIkAWnN176A2rx7YFB,55,2004-09-11,193000,False,https://open.spotify.com/track/4UuHWIkAWnN176A2rx7YFB,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955
25,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,1EzrEOXmMH3G43AXT1y7pA,80,2008-05-12,242947,False,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96
26,Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,4BcmNEt6VK0KBVsVY8yClD,3mNecsYFb6LQg7822DPXCP,67,2000-05-16,189333,False,https://open.spotify.com/track/3mNecsYFb6LQg7822DPXCP,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493
27,Feel Good Inc.,Gorillaz,Demon Days,0bUTHlWbkSQysoM3VsWldT,0d28khcov6AiegSCpG5TuT,86,2005-05-23,222640,False,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559
28,Summer,Calvin Harris,Motion,48zisMeiXniWLzOQghbPqS,6YUTL4dYpB9xZO5qExPf05,83,2014-10-31,222533,False,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949
29,Ants Marching,Dave Matthews Band,Under The Table And Dreaming,3eAA4fvTVttgUlE43vRVMq,3HL9dtbUo5mJwXQyaEUESR,34,1994-09-27,270760,False,https://open.spotify.com/track/3HL9dtbUo5mJwXQyaEUESR,0.653,0.825,2,-5.243,1,0.0335,0.0277,8.84e-05,0.053,0.846,113.249
30,It's All Been Done,Barenaked Ladies,Stunt,4FsibLgkGMV9AfbLtEqvxT,3dnY1Rl8JnjP1ZDFGrDzfh,0,1998-07-07,206000,False,https://open.spotify.com/track/3dnY1Rl8JnjP1ZDFGrDzfh,0.521,0.919,2,-3.146,1,0.0475,0.000173,0.00218,0.301,0.746,131.726
31,One Week,Barenaked Ladies,Stunt,4FsibLgkGMV9AfbLtEqvxT,1C0pmryC2MdXfa7MZ9uIrU,0,1998-07-07,169760,False,https://open.spotify.com/track/1C0pmryC2MdXfa7MZ9uIrU,0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845
32,Just A Girl,No Doubt,The Singles Collection,5fSlrmZPalwAAQDwu6shK2,6mfkHv00I6jhHIn7EWHJ2N,57,2003-01-01,205947,False,https://open.spotify.com/track/6mfkHv00I6jhHIn7EWHJ2N,0.635,0.937,2,-2.86,1,0.0452,0.0741,7.29e-05,0.134,0.779,108.003
33,Two Princes,Spin Doctors,Pocket Full Of Kryptonite,2TWdmpnFNCMlZDQROleupK,4ePP9So5xRzspjLFVVbj90,72,1991-08-27,256733,False,https://open.spotify.com/track/4ePP9So5xRzspjLFVVbj90,0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731
34,Sk8er Boi,Avril Lavigne,Let Go,3zXjR3y2dUWklKmmp6lEhy,00Mb3DuaIH1kjrwOku9CGU,79,2002-06-04,204000,False,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937
35,Sugar,Maroon 5,V (Deluxe),6i7WCdMCeqUKte5zU8DUUA,5eWgDlp3k6Tb5RD8690s6I,0,2014-09-02,235493,True,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I,0.744,0.783,1,-7.077,1,0.0337,0.0553,0.0,0.086,0.885,120.042
36,Prayer In C (Robin Schulz Remix) [Radio Edit],Lilly Wood and The Prick,Invincible Friends (Edition Robin Schulz Remix),6d2wdCPbQQYZ4FMoEp0gSV,5HdUMBc7AhPFhlPDZUpSwf,64,2014-07-28,190244,False,https://open.spotify.com/track/5HdUMBc7AhPFhlPDZUpSwf,0.754,0.859,9,-5.875,0,0.0264,0.0174,0.00012,0.384,0.774,122.995
37,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Funk (feat. Bruno Mars),0tWBtc7le3TMo1gDdGyJVI,4rmPQGwcLQjCoFq5NrTA0D,32,2014-11-24,270627,True,https://open.spotify.com/track/4rmPQGwcLQjCoFq5NrTA0D,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,114.989
38,Geronimo,Sheppard,Bombs Away,2Yi29VOccHCwktsZNqtxbt,19cL3SOKpwnwoKkII7U3Wh,67,2015-03-10,218228,False,https://open.spotify.com/track/19cL3SOKpwnwoKkII7U3Wh,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028
39,Destination Calabria (Original Radio Edit),"Alex Gaudino, Crystal Waters",Destination Calabria,5afWZRdBMVXvn8APVSlCA6,6sH0zEauzk2ih4kGWQliQL,0,2006,223112,False,https://open.spotify.com/track/6sH0zEauzk2ih4kGWQliQL,0.627,0.954,2,-4.808,1,0.0431,0.0014,0.000735,0.303,0.293,128.006
40,Mambo No. 5 (A Little Bit of...),Lou Bega,A Little Bit Of Mambo,41GaNTO6AagOC6CEoATrPF,7jQBORjiir0pNSKGaHevq9,0,1999-08-24,220133,False,https://open.spotify.com/track/7jQBORjiir0pNSKGaHevq9,0.611,0.831,5,-5.394,0,0.394,0.0972,0.0,0.308,0.915,174.245
41,I'm A Believer - Radio Edit,Smash Mouth,All Star Smash Hits,2UQrm3KoMSJ16a2PTUlx2E,5M5mzimlah21xlC1rAuIuY,50,2005-01-01,183280,False,https://open.spotify.com/track/5M5mzimlah21xlC1rAuIuY,0.523,0.973,6,-3.516,1,0.0697,0.017,1.26e-06,0.33,0.931,164.661
42,I Want You Back,The Jackson 5,20th Century Masters: The Millennium Collection: Best Of The Jackson 5,2oJRp9GV4zpFzpnneGZqZH,0PGwM5vdr5fMejx0IIAYXj,0,1999-01-01,180893,False,https://open.spotify.com/track/0PGwM5vdr5fMejx0IIAYXj,0.674,0.584,8,-8.204,1,0.0318,0.466,0.00195,0.187,0.96,98.293
43,Footloose,Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",3uN87hwClF0hult2cxMbAW,6W2VbtvMrDXm5vYeB7amkO,74,1997-03-25,220707,False,https://open.spotify.com/track/6W2VbtvMrDXm5vYeB7amkO,0.546,0.895,9,-7.189,1,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089
44,Superstition,Stevie Wonder,Number 1's,5x7vXXWapy8cUmdSuwpUy1,4dwrL3Z5U2RZ6MZiKE2PgL,0,2007-01-01,244827,False,https://open.spotify.com/track/4dwrL3Z5U2RZ6MZiKE2PgL,0.648,0.751,8,-8.582,1,0.0806,0.0182,0.000401,0.0418,0.863,100.437
45,Jump - 2015 Remaster,Van Halen,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,7N3PAbqfTjSEU1edb2tY8j,81,1984-01-04,241600,False,https://open.spotify.com/track/7N3PAbqfTjSEU1edb2tY8j,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
46,You Can't Hurry Love - 2016 Remaster,Phil Collins,"Hello, I Must Be Going! (Deluxe Edition)",6sn6eWmPciSiHj0ltTBl7M,4YwbSZaYeYja8Umyt222Qf,79,1982-11-05,175747,False,https://open.spotify.com/track/4YwbSZaYeYja8Umyt222Qf,0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527
47,Uptight (Everything's Alright),Stevie Wonder,Up-Tight,0qnHA4SDco9mPuWGzDqVDK,0Hw6SCrtU9pFCjgAONpnGZ,56,1966-05-01,174400,False,https://open.spotify.com/track/0Hw6SCrtU9pFCjgAONpnGZ,0.593,0.642,5,-9.894,0,0.0304,0.186,0.0,0.129,0.919,133.281
48,Daylight,Matt and Kim,Grand,4bQi4sDv5BugGpaQWJiEXa,57i3M29DWoo7RDk0Tf0LZG,68,2009-01-20,171333,False,https://open.spotify.com/track/57i3M29DWoo7RDk0Tf0LZG,0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303
49,A-Punk,Vampire Weekend,Vampire Weekend,7JcfNKXoHSaog85a1hd4lx,1595LW73XBxkRk2ciQOHfr,0,2008-01-29,137760,False,https://open.spotify.com/track/1595LW73XBxkRk2ciQOHfr,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993
50,Everybody Talks,Neon Trees,Picture Show (Deluxe Edition),7hPNlDBLv1EW8GakiIzFnn,3528IXKpbb7OMjdjWYlbfD,53,2012-01-01,177280,True,https://open.spotify.com/track/3528IXKpbb7OMjdjWYlbfD,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961
51,My Type,Saint Motel,My Type EP,2r69WsAMyjbgLf8c4woaUr,2Iq6HhIquO7JKr0KfTNLzU,70,2014-08-16,204812,False,https://open.spotify.com/track/2Iq6HhIquO7JKr0KfTNLzU,0.595,0.896,10,-2.951,1,0.047,0.0641,5.82e-05,0.0748,0.567,118.001
52,Cold Cold Man,Saint Motel,My Type EP,2r69WsAMyjbgLf8c4woaUr,6RKGBcDtgzXx21zUjpeu6F,67,2014-08-16,230773,False,https://open.spotify.com/track/6RKGBcDtgzXx21zUjpeu6F,0.613,0.661,9,-4.984,1,0.0263,0.00652,0.0,0.0976,0.509,110.978
53,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),3WrufJir7I61NkvkDwxero,6Z8R6UsFuGXGtiIxiD8ISb,85,2013,192790,False,https://open.spotify.com/track/6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956
54,Papa's Got A Brand New Bag,James Brown,20 All-Time Greatest Hits!,6MjOv3BeIjmht2ymtRih3s,6v4gV9s0pnwKbmF1yk5knO,0,1991,125707,False,https://open.spotify.com/track/6v4gV9s0pnwKbmF1yk5knO,0.746,0.702,4,-8.099,1,0.0766,0.493,0.0398,0.0964,0.889,129.434
55,Son of a Preacher Man,Dusty Springfield,Dusty In Memphis [Deluxe Edition],6SNMenG3NjZyqgI5p4Hcmg,7odHgoLFi3GQ90E9PeraI3,69,1969-03-31,149160,False,https://open.spotify.com/track/7odHgoLFi3GQ90E9PeraI3,0.401,0.498,4,-10.682,1,0.0757,0.394,0.0,0.13,0.816,181.701
56,Get Up Offa That Thing,James Brown,20 All-Time Greatest Hits!,6MjOv3BeIjmht2ymtRih3s,0nyrltZrQGAJMBZc1bYvuQ,0,1991,250200,False,https://open.spotify.com/track/0nyrltZrQGAJMBZc1bYvuQ,0.883,0.664,4,-10.395,1,0.411,0.225,2.3e-06,0.941,0.8,118.104
57,Dance to the Music,Sly & The Family Stone,Dance To The Music,2j9rvROPPJGn3xaRztD1rX,1MQWtVcs0PKsY4PA6ZvLiy,61,1968-04-27,179427,False,https://open.spotify.com/track/1MQWtVcs0PKsY4PA6ZvLiy,0.703,0.529,7,-11.112,1,0.1,0.0168,0.00057,0.911,0.772,128.059
58,The Rubberband Man,The Spinners,The Very Best of the Spinners,05jU4HqC6CTnRuP1e4yYnS,4Q5HmyNvQHlfylzGY7V3Wr,46,2007-06-12,215109,False,https://open.spotify.com/track/4Q5HmyNvQHlfylzGY7V3Wr,0.81,0.536,10,-11.573,1,0.0583,0.466,0.00074,0.0401,0.957,97.311
59,The Impression That I Get,The Mighty Mighty Bosstones,Let's Face It,5yBYSnmpRANjb99msqeCee,1ru5R5iSawvuMELqKXxLjS,50,1997-01-01,194760,False,https://open.spotify.com/track/1ru5R5iSawvuMELqKXxLjS,0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174
60,I Can See Clearly Now,Jimmy Cliff,We All Are One: The Best Of Jimmy Cliff,0g0F1l0hQ1nZTelBbmlmB5,7aJZxI6TVdIvQSuWxQ4rqp,64,2002-06-11,196000,False,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,0.799,0.662,7,-8.585,1,0.0347,0.00482,0.000505,0.0484,0.717,120.082
61,Uptown Girl,Billy Joel,An Innocent Man,3R3x4zIabsvpD3yxqLaUpc,5zA8vzDGqPl2AzZkEYQGKh,82,1983-08-08,197707,False,https://open.spotify.com/track/5zA8vzDGqPl2AzZkEYQGKh,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993
62,Layla,Derek & The Dominos,Timepieces: The Best Of Eric Clapton,14U6PjRvKIkqLHouyYzdYR,3gce83TvahSnFHFtCqbe4R,43,1982-01-01,424333,False,https://open.spotify.com/track/3gce83TvahSnFHFtCqbe4R,0.404,0.749,1,-10.3,1,0.0565,0.44,0.47,0.34,0.461,115.434
63,Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),0ETFjACtuP2ADo6LFhL6HN,2EqlS6tkEnglzr7tkKAAYD,80,1969-09-26,259947,False,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
64,September,"Earth, Wind & Fire",The Eternal Dance,6UixeNUSjrBnxeYV0ZuGHR,5nNmj1cLH3r4aA4XDJ2bgY,0,1992-09-08,214827,False,https://open.spotify.com/track/5nNmj1cLH3r4aA4XDJ2bgY,0.697,0.809,9,-8.197,1,0.0302,0.114,0.000521,0.183,0.98,125.941
65,Centerfold,The J. Geils Band,Freeze Frame,48joW5905AMbTFLvy8ZWch,1ynmMEK1fkyiZ6Z6F3ThEt,72,1981,216533,False,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37
66,Centerfield,John Fogerty,Centerfield,2RsCJYS71RTEInqYLJestV,1fFNSZQFnnPMLzGYZfs0jk,0,1985,233667,False,https://open.spotify.com/track/1fFNSZQFnnPMLzGYZfs0jk,0.81,0.928,7,-5.319,1,0.0491,0.155,1.47e-06,0.0598,0.973,142.405
67,Wipeout - Re-record,The Ventures,"60's Rock Instrumental Collection, Vol. 2",2LXgnizuobZEZVGlIWNwtS,2vcJPG03OJNpBW0LjNmtWi,0,2006-01-03,233693,False,https://open.spotify.com/track/2vcJPG03OJNpBW0LjNmtWi,0.3,0.949,0,-4.819,1,0.0442,0.000188,0.794,0.274,0.866,159.395
68,In the Summertime (Re-Recorded),Mungo Jerry,Bubble Gum Jukebox Hits,7bZNPbPxeU03asc0bnwFEf,6fOXeZLwVZ1J48d3xz6JnY,0,2008-01-01,219727,False,https://open.spotify.com/track/6fOXeZLwVZ1J48d3xz6JnY,0.598,0.66,4,-8.948,1,0.151,0.609,0.0,0.154,0.938,165.92
69,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,05wIrZSwuaVWhcv5FfqeH0,80,1985,238733,False,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
70,Surfin' U.S.A. - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),6u5tGarzvESDsQiIpC4SlI,0wz1LjDb9ZNEYwOmDJ3Q4b,73,1963-03-25,149373,False,https://open.spotify.com/track/0wz1LjDb9ZNEYwOmDJ3Q4b,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231
71,Rockin' Robin,Michael Jackson,Got To Be There,0F4XW0iBOhNFkbn1BuQ8cu,63gcHyuhAC8G2C0bVQUOJI,50,1972-01-24,154840,False,https://open.spotify.com/track/63gcHyuhAC8G2C0bVQUOJI,0.622,0.721,10,-8.224,1,0.0983,0.24,7.88e-05,0.271,0.968,173.395
72,On Top Of The World,Imagine Dragons,Night Visions (Deluxe),1rzDtYMpZDhRgKNigB467r,6KuHjfXHkfnIjdmcIvt9r0,71,2012-09-04,189840,False,https://open.spotify.com/track/6KuHjfXHkfnIjdmcIvt9r0,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048
73,Best Day Of My Life,American Authors,"Oh, What A Life",0V4laGZGshNCpurfIdUhHv,5Hroj5K7vLpIG4FNCRIjbP,81,2014-01-01,194240,False,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012
74,Go Big Or Go Home,American Authors,What We Live For,1av32Pkx9yoZYU250F34zW,1obisQNOcikRvTdStbW3pG,61,2016-07-01,169027,False,https://open.spotify.com/track/1obisQNOcikRvTdStbW3pG,0.665,0.875,1,-4.272,1,0.0426,0.00939,0.0,0.0897,0.66,122.008
75,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),5jNDWA19BJbE24x1UUJGRY,1TfqLAPs4K3s2rJMoCokcS,85,1983-01-04,216933,False,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135
76,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,1C2h7mLntPSeVYciMRTF4a,5ChkMS8OtdzJeqyybCc9R5,83,2008-02-08,293827,False,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046
77,Sing,Ed Sheeran,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,6K8qKeWo5MsFED7wCR6Kop,70,2014-06-21,235382,False,https://open.spotify.com/track/6K8qKeWo5MsFED7wCR6Kop,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988
78,The A Team,Ed Sheeran,+,02pi98kE0nra0yBqCStzbC,1XpYodsD36XN7ygcdF7mJJ,69,2011-09-09,258373,False,https://open.spotify.com/track/1XpYodsD36XN7ygcdF7mJJ,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996
79,Paper Planes,M.I.A.,Kala,1Lymt1abGCr3J06bbnmWca,1kusepF3AacIEtUTYrw4GV,0,2007-01-01,203760,False,https://open.spotify.com/track/1kusepF3AacIEtUTYrw4GV,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247
80,Mr. Brightside,The Killers,Hot Fuss,4undIeGmofnAYKhnDclN1w,7oK9VyNzrYvRFo7nQEYkWN,5,2004-06-15,222587,False,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017
81,Can't Feel My Face,The Weeknd,Beauty Behind The Madness,28ZKQMoNBB0etKXZ97G2SN,6RsWqX8zABZLhZydXxEFOm,0,2015-08-28,213520,False,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm,0.702,0.77,9,-5.416,0,0.0482,0.124,0.0,0.103,0.593,107.951
